num_links,num_words,has_offer,all_caps
1,54,0,0
3,54,0,0
2,20,0,0
2,66,0,0
4,128,0,0
1,130,0,0
4,37,1,0
0,45,1,0
3,79,0,0
0,165,0,0
3,82,1,0
4,60,0,0
0,62,0,0
3,57,1,1
2,174,0,0
0,196,0,0
3,75,1,0
2,196,0,0
0,188,0,0
3,146,1,0
1,118,1,0
2,106,0,0
2,75,0,1
1,136,0,0
2,81,1,0
2,119,0,0
3,189,1,0
0,137,1,0
1,175,1,0
1,56,0,0
2,39,1,0
1,54,0,0
1,90,0,0
4,117,0,0
2,25,0,0
1,38,0,0
2,125,1,0
4,27,1,0
2,195,0,0
0,35,0,0
0,136,0,0
1,129,0,0
1,43,0,0
1,172,1,0
4,160,0,0
2,138,1,0
0,177,0,0
1,28,0,0
3,187,1,0
1,26,0,0
1,51,1,0
1,79,0,0
1,112,1,0
2,126,1,0
1,70,0,1
2,59,1,0
0,134,0,1
0,98,0,0
3,30,1,0
2,92,0,0
0,35,0,0
1,44,0,1
2,179,0,0
0,157,0,0
2,103,1,0
2,60,0,0
2,143,0,0
3,84,1,0
1,179,0,0
2,123,1,0
0,114,0,0
1,195,0,0
3,73,0,0
2,144,0,0
1,94,1,0
0,141,0,0
1,60,0,0
0,102,1,0
0,133,0,1
0,80,0,0
0,154,0,0
1,121,0,0
1,72,0,1
1,116,0,0
1,119,0,0
1,173,1,0
1,80,1,1
1,112,0,1
4,54,0,0
2,22,1,1
2,129,1,0
3,83,1,0
1,158,1,0
2,153,0,1
1,149,0,0
1,59,1,0
3,146,1,0
4,125,1,0
1,162,1,0
1,118,0,0
2,177,0,1
2,25,0,0
1,117,0,0
0,40,0,0
0,103,0,0
2,118,1,0
1,156,0,0
2,71,1,0
1,56,0,0
5,28,1,1
1,142,0,0
3,163,0,0
1,51,0,0
2,121,0,0
1,131,0,1
5,22,0,0
2,161,0,0
2,40,1,0
4,91,1,0
1,135,0,0
3,194,0,0
4,40,0,0
1,61,0,0
0,115,0,0
0,164,0,0
1,59,0,0
3,77,0,0
3,134,0,0
1,151,1,0
7,61,0,0
2,106,0,0
1,76,0,0
2,55,1,0
2,71,0,0
3,169,1,0
3,108,0,0
2,29,1,0
0,171,0,0
2,182,0,0
1,133,1,0
5,97,0,0
1,167,0,0
3,129,0,0
3,71,0,0
3,33,0,0
0,186,1,0
2,92,0,0
2,181,1,0
2,103,0,0
2,86,1,0
4,131,1,0
3,122,0,0
1,31,0,0
2,61,0,0
0,178,1,0
0,156,1,0
2,145,0,0
0,70,0,0
2,56,0,0
2,169,0,0
1,156,0,0
1,135,0,0
1,82,1,0
0,104,0,0
2,92,0,0
0,159,0,0
4,46,0,0
1,135,0,0
0,66,0,0
1,92,0,0
0,47,1,0
1,54,1,0
0,126,0,0
1,185,0,0
1,115,0,0
0,188,1,0
2,86,0,0
2,156,0,0
2,150,0,0
3,70,1,0
0,96,0,0
1,196,0,1
2,182,0,0
0,35,1,0
3,187,0,1
1,88,1,0
0,27,0,1
0,180,0,0
2,198,0,0
1,149,1,0
0,185,0,0
2,75,1,0
2,39,0,0
1,71,1,0
1,156,0,0
1,84,0,0
0,85,0,0
2,38,1,0
4,163,1,0
3,115,0,0
0,39,0,0
1,126,0,0
2,71,0,0
2,161,0,0
2,141,0,0
2,110,0,0
2,182,1,0
2,141,0,0
1,181,1,0
2,99,0,0
3,175,1,0
2,190,0,0
1,182,0,0
0,162,0,0
4,22,0,0
1,174,1,0
1,146,1,0
1,134,1,1
3,23,0,0
2,169,0,0
2,88,0,0
2,124,1,0
3,42,0,0
1,160,1,0
0,79,0,0
1,46,0,1
3,138,1,1
1,69,1,0
3,31,0,0
2,157,1,0
3,68,1,0
4,126,1,0
0,54,1,0
1,185,0,0
1,139,0,0
2,39,1,0
1,31,0,0
1,22,0,0
4,21,1,0
0,41,0,0
4,54,0,0
1,28,0,0
1,106,0,0
0,36,0,0
1,161,1,0
3,179,1,0
0,123,0,0
2,55,0,0
0,180,1,0
1,83,1,0
4,160,0,0
2,181,0,0
1,152,0,0
1,180,0,0
2,152,0,0
0,130,1,0
1,37,0,0
3,108,0,0
1,37,0,0
2,173,1,0
1,103,0,0
1,39,0,0
1,122,0,0
0,123,0,0
2,144,1,0
1,103,1,0
2,128,0,0
0,23,0,0
0,41,0,0
1,146,0,0
1,104,0,0
2,28,0,0
4,52,0,0
2,124,1,0
1,26,1,0
1,180,1,0
2,85,0,0
1,116,0,0
4,54,0,0
1,112,1,0
1,179,1,0
2,20,0,0
0,136,1,0
0,114,0,0
2,199,0,0
1,54,0,0
2,59,1,0
1,191,0,0
0,58,0,1
1,39,0,0
2,116,0,0
2,150,1,1
2,72,0,0
1,159,1,0
1,155,0,0
0,188,0,0
0,130,1,0
0,141,1,1
2,158,0,0
2,45,0,0
2,57,0,1
3,152,1,0
3,51,1,0
0,131,0,0
0,162,0,0
0,126,1,0
1,71,0,0
1,132,0,0
1,145,0,0
4,47,0,0
2,166,0,0
0,73,0,0
0,141,0,0
2,100,0,1
1,34,0,0
0,32,0,0
2,42,0,0
2,99,0,0
1,44,1,0
1,179,0,0
4,168,1,0
0,148,0,1
1,47,0,0
0,110,1,1
0,135,0,0
1,159,1,0
1,39,0,0
2,127,1,0
3,102,0,0
2,70,0,0
1,173,1,0
2,104,0,1
0,120,1,0
4,190,1,0
0,197,0,0
1,175,0,0
1,173,0,0
1,96,0,0
0,44,0,0
4,134,1,0
2,50,0,0
1,165,0,1
0,187,0,0
5,106,0,0
1,86,0,0
4,30,1,0
0,174,0,0
1,184,1,0
2,159,1,0
0,175,0,0
3,25,0,0
1,89,0,0
3,191,0,1
0,108,0,0
2,66,0,0
1,55,0,0
1,101,0,0
1,63,0,1
3,170,0,1
4,170,1,0
2,106,0,0
2,54,0,0
0,112,1,0
3,80,0,0
0,185,0,0
3,199,1,0
2,21,1,0
1,166,0,0
2,130,0,0
3,116,0,0
0,42,1,0
4,45,0,0
0,49,0,0
1,38,0,0
2,186,0,0
4,109,0,0
0,125,0,0
1,47,0,0
1,146,0,0
1,80,1,0
3,195,0,1
3,114,0,0
0,115,1,0
3,160,0,0
1,105,0,0
1,142,0,1
0,158,0,1
2,116,0,0
2,187,1,0
4,127,0,0
1,198,0,0
1,89,0,0
1,177,0,0
0,146,0,0
2,177,0,1
0,26,1,0
3,86,0,0
3,157,0,0
2,80,1,0
1,140,0,0
1,121,0,0
0,56,0,1
2,34,1,0
0,69,1,0
2,23,0,0
4,120,1,0
1,189,0,0
1,29,1,0
4,142,1,0
3,169,0,0
2,146,1,0
0,178,0,0
3,95,0,0
0,47,0,1
0,117,0,0
2,38,1,0
2,97,1,0
0,66,0,0
0,134,0,1
1,171,0,0
1,133,0,0
0,30,1,0
1,96,0,0
2,93,0,0
3,110,0,0
1,73,0,0
1,78,0,0
4,51,0,0
2,165,1,0
2,151,0,0
1,101,1,0
1,198,0,0
0,194,0,0
2,73,0,0
2,172,1,0
1,145,0,0
2,157,0,0
3,154,1,0
0,145,0,0
3,116,0,0
1,38,0,0
1,154,0,0
4,64,0,0
0,124,0,0
2,57,0,0
0,154,1,0
1,193,0,0
0,86,0,0
0,94,1,0
0,27,0,0
1,109,1,0
0,121,1,0
1,22,0,0
1,112,1,1
1,31,0,0
1,101,0,0
1,190,0,1
2,154,1,0
2,113,0,0
1,67,1,0
4,64,0,0
2,44,0,0
0,23,0,0
3,151,0,0
1,197,0,0
2,145,0,0
2,125,1,0
1,175,0,0
4,129,0,0
3,184,0,0
5,149,0,1
1,92,0,0
2,80,1,1
1,144,1,1
1,70,1,0
1,50,0,0
1,104,0,0
3,62,0,0
2,47,0,0
0,186,1,1
2,163,0,0
3,86,0,0
0,87,1,1
0,55,0,0
0,146,0,0
1,49,1,0
1,112,1,0
2,42,0,0
1,194,0,0
3,30,0,0
2,139,0,0
1,38,1,0
2,91,1,1
1,62,1,0
1,94,1,1
0,144,0,0
2,156,1,1
1,44,1,0
1,50,0,0
2,160,0,0
0,84,0,0
2,177,0,0
0,48,0,0
2,114,0,0
2,37,0,0
1,150,0,0
0,54,1,0
2,151,1,1
1,60,0,0
3,98,1,0
2,133,1,0
0,109,1,0
2,49,0,0
1,106,1,0
2,30,1,0
1,52,0,0
1,57,1,0
0,24,0,0
1,118,0,0
1,70,1,0
1,84,0,0
1,77,0,0
3,195,0,1
0,184,0,0
1,154,0,0
2,79,1,1
2,78,0,0
4,157,0,0
2,52,0,0
2,198,0,0
2,142,0,0
1,97,0,0
1,183,1,1
0,130,0,0
0,57,0,0
1,74,1,0
0,177,1,0
2,45,0,0
1,114,0,0
1,61,1,0
0,194,1,0
2,166,0,1
0,123,0,0
0,96,0,0
0,106,1,0
2,99,1,0
1,172,0,0
1,144,0,0
1,144,1,0
1,104,1,1
1,37,0,0
0,28,1,0
2,130,0,0
2,123,0,0
3,36,0,0
3,113,0,0
2,151,0,0
3,74,0,1
1,73,1,0
0,175,0,0
1,124,1,1
1,187,0,0
2,28,1,0
1,183,1,0
0,155,0,0
2,141,1,0
1,68,0,0
0,89,0,0
1,189,1,0
0,21,0,0
3,178,1,0
0,95,0,0
0,38,1,0
2,140,0,0
0,120,0,0
0,120,0,0
5,84,1,0
1,81,1,1
4,117,0,0
1,35,0,0
0,124,0,0
3,154,1,0
1,96,1,0
1,159,0,0
3,111,0,0
1,152,1,0
1,111,0,0
0,66,1,0
0,30,0,0
3,181,1,0
1,70,0,0
2,24,0,0
0,67,0,0
1,50,1,0
0,187,0,0
1,154,0,0
2,118,1,0
2,104,0,0
2,59,1,0
1,161,0,0
2,29,0,0
0,101,0,0
0,68,0,0
0,164,0,0
0,139,0,0
1,198,1,0
0,177,0,0
3,74,0,0
5,53,1,0
0,52,0,0
1,152,0,0
4,123,1,1
0,61,1,0
1,150,1,0
2,185,1,0
0,32,0,0
0,155,0,0
1,80,0,0
0,177,0,0
2,69,0,0
2,88,0,0
1,57,0,0
3,114,0,0
2,21,0,0
3,76,0,0
2,26,1,0
1,157,0,0
0,48,0,0
0,181,0,1
1,117,0,1
1,192,1,0
1,146,0,0
0,119,1,0
0,90,0,0
1,97,1,0
1,103,1,0
0,52,1,0
1,114,0,0
4,116,1,0
2,109,1,0
1,145,1,0
0,198,0,0
2,185,0,0
1,31,0,0
0,39,1,0
1,85,1,0
1,37,0,0
3,189,1,1
0,138,1,0
3,25,0,0
1,85,0,0
2,88,0,0
2,146,1,0
0,144,0,0
1,121,1,0
2,141,0,0
1,169,1,0
0,169,0,0
1,84,0,0
2,196,1,0
1,96,0,0
1,159,0,0
0,160,1,0
1,134,0,0
2,142,0,0
0,78,0,0
0,142,1,0
0,158,1,0
2,133,0,0
1,101,1,0
1,20,0,0
3,87,0,0
3,28,1,0
2,22,0,0
1,28,0,0
2,101,0,1
0,88,1,0
1,41,1,0
0,120,0,0
2,137,0,1
1,170,0,0
2,99,0,0
1,152,1,0
3,58,1,0
1,22,1,0
1,45,0,0
4,27,0,0
0,71,0,0
2,153,0,0
0,145,1,0
0,174,0,0
2,140,0,0
1,169,0,1
0,75,0,0
2,62,0,0
1,46,0,0
4,64,0,0
2,65,0,0
1,132,1,0
5,52,0,0
2,146,0,0
3,114,1,0
2,47,0,1
1,113,0,0
2,117,0,0
1,128,0,0
3,100,0,1
1,198,1,0
2,54,0,0
1,183,0,0
1,25,0,0
2,147,1,0
2,170,0,0
0,33,0,0
2,75,0,0
3,98,0,0
1,172,0,0
3,167,0,0
0,165,0,0
1,143,1,0
0,164,0,0
0,161,1,0
0,45,0,0
2,179,0,1
2,112,1,0
3,90,1,0
1,76,1,0
3,31,1,0
1,22,0,0
1,179,1,0
2,116,1,0
1,162,0,0
1,156,0,0
2,68,0,0
0,191,0,0
1,100,0,1
0,175,0,0
1,192,0,0
3,32,0,0
1,66,0,0
1,40,1,0
0,69,1,1
3,194,1,0
0,133,1,0
0,24,1,0
4,26,0,0
2,185,0,0
1,56,0,0
1,102,1,0
2,179,0,0
2,190,0,0
4,86,0,0
2,122,0,0
0,118,0,0
1,46,1,0
1,70,0,0
4,195,0,0
3,91,0,0
1,113,0,0
3,67,0,0
0,29,0,0
1,113,1,0
2,156,1,0
3,105,0,0
5,114,1,0
2,65,0,1
1,157,1,0
1,55,1,0
2,29,0,1
2,143,0,1
0,46,0,0
1,98,1,0
4,166,0,0
1,158,0,0
3,51,0,0
2,167,0,0
1,65,1,0
2,79,1,0
1,87,0,0
0,36,0,0
2,84,0,0
2,38,0,1
3,24,0,0
0,101,1,0
2,74,0,0
1,125,0,1
0,23,1,0
0,199,1,0
2,38,0,0
1,178,0,0
1,150,0,0
3,86,0,0
2,48,1,0
2,155,1,0
2,139,0,0
0,152,0,0
1,83,0,1
3,46,0,0
2,52,0,0
2,77,1,0
0,81,0,0
3,101,1,1
2,45,1,0
3,33,1,0
0,51,1,0
4,60,0,1
0,161,1,0
1,67,0,0
0,195,1,0
4,110,1,0
1,57,1,0
0,154,1,0
1,52,0,0
1,126,1,0
5,116,0,0
2,43,0,1
2,45,1,0
3,69,0,0
1,189,0,0
3,114,1,0
1,144,0,0
1,160,0,0
1,178,0,0
1,42,1,0
2,184,1,0
3,128,0,1
1,78,0,1
3,35,1,0
1,58,0,0
2,101,0,0
0,110,0,0
0,28,1,0
1,111,0,0
2,41,1,0
2,94,0,0
2,73,0,0
0,169,0,1
0,33,0,0
0,98,1,0
1,197,1,0
4,152,0,0
2,127,0,0
1,113,0,0
1,164,0,0
2,20,0,0
1,161,0,0
0,74,0,1
1,36,0,0
1,28,1,0
0,147,1,0
2,118,1,0
2,114,1,1
0,31,0,0
1,141,0,0
0,128,0,1
3,85,0,0
2,162,0,1
3,181,1,0
0,56,0,0
3,72,1,0
1,188,0,0
1,143,0,0
1,97,0,1
1,23,0,0
0,155,1,0
0,106,0,0
1,90,1,0
2,36,1,0
1,169,1,0
0,121,1,0
1,155,0,0
1,41,1,0
1,59,0,0
0,169,0,0
1,123,0,0
2,152,0,0
2,28,0,0
1,79,0,0
3,39,0,0
1,105,0,0
1,142,0,0
0,53,0,1
3,183,0,1
4,111,0,0
2,144,0,0
0,146,0,0
0,90,0,0
1,185,1,0
0,51,0,0
1,193,0,0
0,128,0,0
0,114,1,0
1,44,0,0
3,83,0,0
2,180,0,0
1,66,0,0
1,88,1,0
2,145,1,0
1,48,1,0
2,178,0,0
3,45,0,1
2,82,0,0
1,104,0,0
1,196,0,0
4,78,0,0
3,66,0,0
2,41,0,1
1,128,1,0
1,193,0,0
1,179,1,0
1,117,0,0
0,110,0,0
3,184,1,0
1,86,0,0
0,199,0,0
0,190,0,0
0,128,0,0
1,53,0,0
2,90,0,0
5,192,0,0
1,188,0,1
1,138,0,0
2,199,1,1
0,85,1,0
1,31,1,0
0,34,0,0
2,145,1,0
2,35,0,0
1,22,1,0
2,174,1,0
2,170,1,0
0,180,0,0
1,67,0,1
3,110,0,0
1,174,1,0
1,66,0,0
2,178,0,1
2,182,0,0
0,183,0,0
1,171,0,1
3,164,0,0
2,64,1,0
0,117,0,0
3,148,0,0
1,39,0,0
1,112,0,0
2,89,1,0
1,197,0,0
2,72,0,0
0,128,0,0
1,185,1,1
4,199,0,0
1,112,0,0
0,127,0,0
2,93,1,0
1,44,0,0
1,48,0,0
2,134,0,0
0,54,1,0
0,66,0,1
4,179,0,1
0,146,1,0
2,65,1,0
4,55,0,0
0,90,0,0
0,157,1,0
0,65,0,0
0,117,0,0
1,116,0,0
3,45,0,0
1,195,0,0
1,195,1,1
0,32,0,0
1,177,0,0
4,144,1,1
1,26,0,1
4,75,0,0
0,49,1,1
2,74,0,0
2,180,0,0
1,189,0,0
3,25,0,0
0,27,1,0
2,92,0,0
0,147,0,0
1,94,1,0
2,89,1,0
1,59,0,0
1,99,1,0
3,36,0,0
2,107,0,0
1,154,0,0
3,59,0,0
2,123,1,0
1,77,1,0
0,110,0,0
2,73,0,0
3,28,0,0
6,70,0,0
3,157,0,0
2,68,0,0
2,177,0,0
1,28,0,0
0,193,0,0
3,141,0,0
2,145,0,0
2,45,0,0
1,181,0,0
1,147,0,0
2,46,0,0
1,103,0,0
1,174,1,0
2,188,0,0
0,102,1,1
2,37,1,0
2,69,1,0
1,62,1,0
0,60,0,0
2,123,1,0
1,37,1,0
1,119,0,0
1,72,1,0
1,99,0,0
2,72,0,0
1,32,1,0
1,45,1,0
0,131,0,0
1,109,0,0
1,75,0,0
2,104,1,0
1,197,0,0
1,168,1,0
1,27,0,0
1,197,0,0
0,149,1,0
4,91,0,0
1,89,1,0
4,25,1,1
1,41,0,0
2,193,1,0
3,114,0,0
3,182,0,0
3,81,0,0
0,88,1,0
2,105,0,0
0,76,0,0
0,131,0,0
1,172,1,0
2,92,0,0
1,172,0,0
4,112,1,0
1,137,0,0
2,180,0,0
0,126,0,0
0,27,0,0
1,123,1,0
2,139,0,0
0,160,0,0
0,80,0,0
3,155,0,0
1,136,0,0
3,133,1,0
2,124,1,0
1,46,0,0
3,73,1,0
3,150,0,0
1,52,0,0
1,175,0,0
0,199,1,0
2,48,0,1
2,112,0,0
0,92,1,0
0,80,1,0
3,169,0,0
2,76,0,0
2,64,0,0
4,100,0,0
1,49,0,0
3,161,0,0
1,99,0,0
1,195,0,0
0,165,1,0
1,179,1,0
1,129,0,0
1,185,0,0
2,135,1,0
0,72,0,0
0,162,0,0
2,184,0,0
0,141,0,0
1,68,1,0
2,52,0,0
2,32,1,0
0,166,1,0
2,104,0,0
1,75,1,0
2,56,1,1
4,77,1,0
1,28,0,0
1,151,0,0
2,90,0,0
2,160,0,0
2,123,1,1
1,82,1,0
2,80,1,0
0,183,1,0
0,27,0,0
0,109,0,0
1,46,0,0
1,173,0,0
1,64,1,0
3,189,0,0
1,33,0,0
1,125,0,0
1,91,0,0
1,139,1,0
1,71,0,0
0,70,0,0
3,149,1,0
1,67,1,0
2,196,1,0
1,86,1,0
1,99,0,0
2,156,1,0
4,122,1,0
2,21,0,0
4,94,0,0
1,190,1,0
1,33,0,0
0,187,1,0
2,78,0,0
0,66,1,0
1,131,1,0
1,181,1,0
1,146,1,0
3,147,0,1
1,183,0,0
1,52,0,0
4,122,0,0
1,37,0,0
4,169,0,0
1,120,0,0
1,24,0,0
1,51,1,0
0,135,0,0
0,196,0,0
1,183,1,0
1,92,1,0
1,33,0,0
0,83,0,0
4,51,0,0
0,156,1,0
3,128,0,0
1,67,0,0
1,71,0,0
3,128,0,0
0,156,0,0
3,127,0,0
3,51,0,0
1,127,0,0
1,157,1,0
0,112,0,0
0,88,0,1
5,30,1,1
2,47,0,0
0,107,0,0
0,181,1,0
1,125,0,0
1,59,1,0
0,135,1,0
7,157,0,0
0,45,0,0
1,62,0,0
2,191,1,0
1,90,0,0
2,131,1,0
3,134,1,0
1,195,0,0
2,98,0,0
3,81,0,0
0,129,0,0
4,64,0,0
2,149,0,0
2,113,0,0
1,66,0,0
1,86,1,0
1,48,0,0
0,44,0,0
3,129,0,0
2,23,0,0
1,194,0,0
3,88,1,0
3,82,0,0
2,25,1,0
1,102,0,0
2,37,0,0
3,135,1,0
3,121,0,0
1,55,0,0
1,95,0,0
2,107,0,0
3,177,0,0
2,161,0,0
2,58,0,0
2,149,0,0
2,141,1,0
0,53,0,0
4,77,0,1
1,136,0,1
1,119,0,0
2,135,1,0
1,182,1,0
1,53,0,0
1,144,0,0
2,121,1,0
3,155,1,0
1,62,0,0
1,82,0,0
3,134,0,0
2,113,0,0
1,130,0,0
0,39,0,0
1,199,0,0
1,103,1,0
9,103,0,0
3,65,1,0
3,106,0,0
0,151,1,0
2,81,0,0
2,146,0,0
3,157,0,0
0,187,1,0
3,152,0,0
2,115,0,0
2,165,0,0
1,80,0,0
3,82,0,1
1,108,0,0
0,24,1,0
6,118,0,0
2,40,0,0
3,119,0,0
3,38,0,0
5,170,0,0
0,88,0,0
1,180,0,0
1,151,1,0
2,54,0,1
0,78,1,0
2,61,0,0
1,146,1,0
1,120,0,0
2,105,0,0
0,68,1,0
0,60,0,0
1,96,0,0
2,124,1,0
2,68,0,1
3,90,0,0
0,103,1,0
2,193,0,0
1,83,0,0
3,197,0,0
0,190,0,0
2,174,1,0
1,53,0,0
1,121,0,1
1,120,1,0
3,174,0,0
0,26,1,0
0,142,0,0
4,42,0,0
1,146,0,0
1,149,0,0
2,183,1,0
0,77,1,0
0,30,0,0
5,26,0,0
1,85,0,0
1,129,0,0
0,50,1,0
1,65,0,1
0,89,1,0
1,72,0,0
0,112,0,1
0,87,0,0
0,65,1,0
1,56,0,0
1,95,0,0
2,174,0,0
0,44,0,0
2,31,0,1
2,36,0,0
3,197,1,0
0,147,0,1
1,114,0,0
0,138,0,0
1,28,0,0
3,137,1,0
1,48,0,0
1,136,0,0
1,147,1,0
0,172,0,0
2,162,0,0
2,156,1,0
2,160,0,0
1,66,0,0
3,191,1,0
3,150,0,0
1,141,0,0
2,165,1,0
3,157,1,0
5,183,0,0
4,143,0,0
1,22,0,0
0,167,0,0
1,165,0,0
1,196,0,0
3,184,1,0
1,39,0,0
2,93,0,0
2,41,0,1
0,168,0,0
1,99,0,0
1,182,0,0
1,119,1,0
0,148,1,0
0,143,1,0
1,159,0,0
2,32,0,0
0,27,0,1
1,134,0,0
2,178,1,0
2,24,0,1
0,147,0,0
2,191,1,0
1,70,0,0
1,119,0,0
1,172,0,0
3,192,1,0
0,32,1,0
2,182,0,0
0,51,1,0
1,169,1,0
1,153,1,0
1,68,1,0
4,30,0,0
2,90,0,0
2,162,0,0
2,87,0,0
1,187,1,0
6,181,0,1
1,126,0,0
3,123,0,0
2,177,0,0
1,38,0,0
1,120,0,0
1,133,0,0
1,81,0,0
0,185,0,0
4,49,0,1
0,51,1,0
1,102,1,0
1,135,0,0
3,172,1,0
2,120,0,0
1,128,1,0
2,106,1,0
1,31,0,0
0,28,1,0
1,144,0,0
0,184,1,0
3,36,0,0
1,182,0,0
2,132,1,0
2,124,0,0
5,140,0,0
2,79,0,0
0,23,0,0
2,188,1,0
1,150,1,0
4,156,0,0
0,30,1,0
1,80,0,0
3,112,1,0
1,131,0,0
1,117,0,0
1,40,0,0
2,44,0,0
0,81,0,0
2,103,1,0
3,43,0,0
2,188,0,0
0,85,0,0
1,28,1,0
0,155,0,0
1,145,1,0
2,115,0,0
2,77,0,0
3,90,0,1
0,57,0,0
4,167,0,0
0,66,0,0
2,98,0,0
1,47,0,0
1,41,1,0
0,132,0,0
0,198,0,0
2,43,0,0
0,92,0,0
1,80,0,0
0,21,0,0
1,128,1,0
3,108,0,0
1,23,1,0
2,77,0,0
2,146,1,0
0,32,0,0
0,174,0,0
1,49,0,0
2,129,0,0
3,122,0,0
1,141,1,0
1,81,1,0
4,30,1,0
1,106,0,0
0,196,0,0
3,36,1,0
1,162,0,0
0,174,0,1
2,136,0,0
0,157,0,0
1,175,0,0
1,149,0,0
1,54,0,0
2,162,0,0
2,180,0,0
3,74,0,0
0,94,0,0
0,71,0,0
3,38,0,0
0,186,0,0
1,29,1,0
1,85,0,0
4,26,0,0
5,109,0,0
0,187,0,0
2,166,0,0
1,138,1,0
0,147,0,0
1,30,0,0
4,71,1,0
3,119,1,0
3,159,0,1
1,92,0,0
5,170,0,0
3,59,1,0
1,69,1,0
2,83,1,0
2,166,0,0
1,37,0,0
0,174,0,0
0,116,0,0
0,112,0,0
2,92,1,1
0,63,0,0
0,77,0,0
2,81,0,0
0,197,1,0
0,110,0,1
0,72,0,0
0,122,1,0
2,80,0,0
2,69,0,0
0,73,1,0
2,61,0,0
1,27,1,1
2,161,0,0
2,32,0,0
1,98,0,0
0,121,0,0
3,191,0,0
3,62,1,0
0,165,1,0
1,183,1,0
0,178,0,0
1,151,1,0
2,96,0,1
3,58,1,0
0,113,1,0
1,38,0,0
0,84,0,0
2,59,0,0
2,115,0,0
1,95,0,0
3,136,1,0
0,132,0,0
2,49,0,0
2,175,0,0
0,196,0,0
3,112,0,0
1,188,0,0
0,105,0,0
0,128,0,0
2,68,1,1
2,176,0,0
4,148,1,0
1,50,1,0
0,46,0,0
2,54,0,0
1,27,0,0
2,59,1,0
0,153,0,0
1,162,0,0
0,40,0,0
4,184,0,0
3,73,0,1
3,176,1,0
1,108,0,0
0,110,0,0
3,125,0,0
0,106,1,0
0,38,1,0
1,111,1,0
2,53,0,0
0,77,1,0
2,160,0,0
0,23,0,0
2,158,0,0
3,197,1,0
1,40,0,0
0,79,0,0
0,168,0,0
0,190,0,0
2,64,1,0
6,61,1,0
1,173,1,0
1,178,0,0
1,196,0,0
1,146,0,0
1,22,0,0
1,58,0,0
1,67,0,0
2,168,0,0
0,37,1,0
4,125,1,0
2,182,0,0
0,51,0,1
1,141,0,0
1,158,0,0
1,122,1,0
0,113,0,0
0,185,0,0
0,65,0,0
0,145,1,0
0,144,0,0
2,167,1,0
2,123,0,0
2,45,0,0
1,158,0,0
0,122,1,0
2,113,0,0
1,56,0,0
1,153,0,0
3,194,0,0
2,133,1,1
1,66,0,0
2,173,0,0
1,44,0,0
1,183,0,0
0,40,0,0
0,62,0,0
1,42,0,0
2,84,0,0
3,80,0,0
1,93,1,0
3,108,0,0
0,105,1,0
3,124,0,0
3,83,1,0
1,180,0,0
2,136,0,0
0,195,0,0
0,58,0,0
2,159,0,1
2,158,0,0
1,67,0,0
5,155,0,0
2,70,0,0
2,155,0,0
0,120,0,1
1,147,1,0
1,127,1,0
1,104,0,1
2,87,0,0
1,133,0,0
3,90,0,0
3,117,0,0
1,128,0,0
5,183,0,0
1,120,1,0
1,49,0,0
0,109,0,0
5,159,0,0
0,94,1,0
3,48,0,0
2,22,0,0
0,81,1,0
1,30,1,0
1,92,1,0
0,137,1,0
1,91,0,0
1,91,0,1
1,61,0,0
1,153,0,0
0,74,0,0
1,25,1,0
2,40,1,0
4,191,0,0
3,136,1,0
0,195,0,0
1,106,0,0
1,183,0,0
1,144,0,0
1,192,0,0
3,150,1,0
3,31,0,0
1,103,0,1
0,38,1,0
2,42,1,0
2,143,0,0
1,152,0,0
2,70,0,0
3,166,0,0
1,31,1,0
2,111,1,0
3,184,0,0
3,53,1,0
2,99,0,0
0,82,1,0
0,136,0,0
0,151,0,0
2,130,0,0
3,73,1,0
1,25,0,0
1,154,1,0
1,53,1,0
1,87,0,0
1,162,1,0
3,32,0,1
2,56,0,0
1,185,1,1
0,178,0,0
1,129,1,0
1,79,0,0
2,32,0,0
0,168,1,0
0,114,0,0
1,191,1,0
1,47,0,0
1,148,0,0
4,157,0,0
0,27,0,0
2,86,1,0
1,139,0,1
1,86,0,0
3,174,1,0
0,37,1,1
3,54,1,0
0,144,0,0
4,63,1,0
3,117,0,0
3,155,0,0
2,146,0,0
4,104,0,0
2,193,1,0
0,62,1,0
0,65,1,0
3,59,0,0
2,75,0,0
2,174,0,0
0,167,0,0
2,76,0,0
2,31,1,0
2,42,1,0
1,31,0,0
1,136,0,0
1,127,0,0
1,191,0,0
2,58,0,0
3,61,0,0
0,67,1,0
1,110,0,1
3,107,0,0
2,86,0,0
0,54,1,0
0,116,0,0
0,56,0,0
0,187,0,0
3,35,0,0
2,195,1,0
1,37,0,0
1,165,0,0
0,161,1,0
2,146,0,1
3,95,0,0
0,61,0,0
2,21,1,0
1,72,1,0
0,79,1,0
1,54,0,0
2,180,1,0
4,60,0,0
1,108,1,0
2,23,0,0
3,40,0,0
3,131,1,0
1,151,0,0
1,114,0,0
1,75,0,1
2,23,1,1
3,151,1,0
2,22,1,0
1,74,0,1
2,102,1,0
1,121,0,0
1,51,0,0
3,143,0,1
1,77,1,0
0,181,0,0
0,29,1,0
2,51,1,0
2,24,0,0
2,176,1,0
3,154,0,0
2,162,0,0
1,21,0,0
0,29,0,0
1,158,0,0
3,72,0,0
1,75,0,0
0,59,0,0
4,95,0,0
2,111,0,0
2,133,0,0
1,101,1,0
0,174,0,0
